variant,frequency,fill_mode,target_num,roundtrip_cost_bp,use_dynamic_lookback,dynamic_score_margin,dynamic_overheat_threshold,dynamic_overheat_penalty,use_drawdown_filter,use_premium_penalty,premium_threshold,premium_penalty,stop_loss,annual_return,cagr,sharpe_ratio,max_drawdown,total_return,final_value,trade_count,buy_count,sell_count,dynamic_buy_count
friend_f2pit_base,5min,same_0955_open,1,7.0,True,0.0,0.1,0.5,True,True,0.05,1.0,0.0,0.6858468527529854,0.8321405857873527,1.7181365453300494,-0.20965998828453603,1.34659416015425,1146649.9744896446,289,145,144,22
friend_f2pit_guarded,5min,same_0955_open,1,7.0,True,0.05,0.1,0.5,True,True,0.05,1.0,0.08,0.6542528996689797,0.7752524181161162,1.6388799465927146,-0.20967970295943217,1.2446066145431596,1096814.336713434,283,142,141,17
friend_f2pit_no_premium,5min,same_0955_open,1,7.0,True,0.05,0.1,0.5,True,False,0.05,0.0,0.08,0.6212776734763902,0.7161518368069635,1.5479612610595803,-0.238663315697071,1.140058778903907,1045727.6276845423,285,143,142,20
friend_f2pit_base,5min,same_0955_open,3,7.0,True,0.0,0.1,0.5,True,True,0.05,1.0,0.0,0.7575480649826096,1.0480752569231604,2.6909640983999683,-0.1315227691401607,1.7453794237946756,1342054.5525300228,559,281,278,45
friend_f2pit_guarded,5min,same_0955_open,3,7.0,True,0.05,0.1,0.5,True,True,0.05,1.0,0.08,0.7519560503168735,1.0418851625346397,2.7596899867937887,-0.15572460279456757,1.7336975354062383,1333917.3430725215,545,274,271,21
friend_f2pit_no_premium,5min,same_0955_open,3,7.0,True,0.05,0.1,0.5,True,False,0.05,0.0,0.08,0.7482033922125283,1.0327227772942429,2.718549365468521,-0.15590485102737073,1.716432927842789,1339557.0885255015,545,274,271,24
friend_f2pit_base,5min,next_day_open,1,7.0,True,0.0,0.1,0.5,True,True,0.05,1.0,0.0,0.7906980408121295,1.0060763742004122,1.8186935990910804,-0.37482644381967567,1.6590481299271564,1324547.0909385695,289,145,144,22
friend_f2pit_guarded,5min,next_day_open,1,7.0,True,0.05,0.1,0.5,True,True,0.05,1.0,0.08,0.7532841822975385,0.932469095120082,1.7322056250759519,-0.3809932110530606,1.5230160941295523,1256785.6859221421,283,142,141,17
friend_f2pit_no_premium,5min,next_day_open,1,7.0,True,0.05,0.1,0.5,True,False,0.05,0.0,0.08,0.7228814891722006,0.8832837599435197,1.7097037694694028,-0.32231644201249243,1.4332749691997901,1212083.0930561274,285,143,142,20
friend_f2pit_base,5min,next_day_open,3,7.0,True,0.0,0.1,0.5,True,True,0.05,1.0,0.0,0.7561925322044307,1.0362777505798721,2.5506638825485326,-0.21331184662941471,1.715454153779727,1347939.9088712735,557,280,277,45
friend_f2pit_guarded,5min,next_day_open,3,7.0,True,0.05,0.1,0.5,True,True,0.05,1.0,0.08,0.7513512874730287,1.0334147711772026,2.634532062628168,-0.2193004060689634,1.710092450511068,1339118.9198769887,543,273,270,21
friend_f2pit_no_premium,5min,next_day_open,3,7.0,True,0.05,0.1,0.5,True,False,0.05,0.0,0.08,0.7292477361959068,0.9905763919391253,2.5830617207915694,-0.20218296413275982,1.630232244158829,1307031.2191647452,543,273,270,24
