variant,ranking_mode,frequency,fill_mode,adjust,exact_jq_cost,annual_return,cagr,sharpe_ratio,max_drawdown,total_return,final_value,trade_count,buy_count,sell_count
simple25d,jq_simple,1min,same_0950_close,none,True,0.49193976158960057,0.5652318159171552,1.654285543673696,-0.2547462987176924,15.21584440876179,8203897.851140035,417,209,208
simple25d,jq_simple,1min,same_0951_open,none,True,0.49452013821241464,0.5692232115002187,1.6622262777385826,-0.2522661962505254,15.474692157510066,8334853.7505800305,417,209,208
simple25d,jq_simple,1min,same_0955_open,none,True,0.4948661125942728,0.56944053461804,1.6591190482947797,-0.25014612774035716,15.488884820739859,8332488.505040025,417,209,208
simple25d,jq_simple,1min,next_day_open,none,True,0.27634835797248,0.26119069767005754,0.9315992412967024,-0.37643069752827896,3.2294162513791527,2109502.717840017,417,209,208
full_friend_logic,jq_auto,1min,same_0950_close,none,True,0.4695608980700678,0.5372633362565522,1.665261535496478,-0.2430152705978612,13.495999559145947,7252749.062160058,467,234,233
full_friend_logic,jq_auto,1min,same_0951_open,none,True,0.47073480637658016,0.5390195970564475,1.668665677262795,-0.24453637886056123,13.59928808170357,7304427.163560044,467,234,233
full_friend_logic,jq_auto,1min,same_0955_open,none,True,0.47713059192840335,0.5489265691001726,1.6921267623024903,-0.246233962649425,14.193574472348365,7588782.045960063,467,234,233
full_friend_logic,jq_auto,1min,next_day_open,none,True,0.46570851049800766,0.526255957902021,1.5891545713691717,-0.2142834317866833,12.83926279472533,7077464.548980039,467,234,233
