tag,annual,sharpe,max_dd,win_rate,alpha,beta,total,final_value
G1R,0.153575363584408,0.7621649653712803,-0.2528550343734369,0.5212711430035879,0.12318263740291725,0.580439828965361,1.8048929516800123,1402446.4758400065
G2R,0.1827453390602031,0.879798783934656,-0.2585462517593379,0.5279343926191696,0.15041462169440126,0.617451555548911,2.4818006543600157,1740900.327180008
J1R_001,0.1827453390602031,0.879798783934656,-0.2585462517593379,0.5279343926191696,0.15041462169440126,0.617451555548911,2.4818006543600157,1740900.327180008
J1R_005,0.1429203268649038,0.687474777073313,-0.2673145704015885,0.5202460276781138,0.1106646726230357,0.6160180011333711,1.5575323565200376,1278766.1782600188
J1R_010,0.094827071593204,0.4566366598326895,-0.318179218205489,0.5074320861096874,0.06259360966730551,0.6155941726156944,0.7633138222000035,881656.9111000018
J1R_020,-0.0026405702607005,-0.0126453111086064,-0.5394841650261384,0.48898001025115323,-0.034870502854568275,0.6155267694854816,-0.1725625975199992,413718.7012400004
K2R,0.1411498562439002,0.679799338735946,-0.2605724751160326,0.5176832393644285,0.10888062443639991,0.6162773052782622,1.52385108366001,1261925.5418300051
K3R,0.1219531657084145,0.597243317097261,-0.2708730464708355,0.5171706817016914,0.09060937306104513,0.5986032820722909,1.1874841955400068,1093742.0977700034
K4R_daily,0.1827453390602031,0.879798783934656,-0.2585462517593379,0.5279343926191696,0.15041462169440126,0.617451555548911,2.4818006543600157,1740900.327180008
K4R_e2d,0.1890164326002718,0.9033657992312109,-0.2739756661511269,0.5325474115838031,0.15654831409562425,0.6200756404386698,2.644660135840011,1822330.0679200056
K4R_e3d,0.1742535423825986,0.8536390705600297,-0.1961416368915469,0.5376729882111737,0.14218418996492596,0.6124600116879344,2.278123622840011,1639061.8114200055
K4R_weekly,0.151891435988401,0.7007198302346926,-0.3068900159288715,0.5356227575602255,0.12038201440052533,0.6017664610949657,1.6944106580400056,1347205.3290200029
K5_500K,0.1411498562439002,0.679799338735946,-0.2605724751160326,0.5176832393644285,0.10888062443639991,0.6162773052782622,1.52385108366001,1261925.5418300051
K5_2M,0.1409035907639564,0.6789855368350531,-0.2604403490804822,0.5248590466427473,0.10862773572706484,0.6164037853520085,1.5195394060000087,5039078.812000018
K5_5M,0.1380407203862491,0.6652400162121633,-0.2604376269661824,0.5269092772936955,0.1057555447376634,0.6165818301295566,1.4643909291040105,12321954.645520052
K5_10M,0.1343088934340345,0.6478102275218894,-0.2607498658660937,0.5243464889800102,0.10196541914245047,0.6176952163006347,1.394853717156014,23948537.171560142
FINAL13_ORIG38,0.2225799313409981,1.417758875067706,-0.1514788362387817,0.565989847715736,0.25957367584433044,0.46079311495733766,12.860404481240034,6930202.240620017
FINAL13_F2v3,0.2872117619811729,1.4051492404368588,-0.2509889578458559,0.569479695431472,0.31053367784040337,0.6018622443681241,26.919815405080065,13959907.702540033
FINAL13_F2v3_ORIG38,0.2683892393167206,1.3552723691535264,-0.197453180871154,0.5491751269035533,0.30060061562895934,0.5992925512759624,21.437905109920052,11218952.554960024
FINAL13_POOL19,0.2666073086362464,1.558319906189083,-0.2889630777157286,0.5269670050761421,0.24923733103453444,0.32641012695160554,22.340101567600083,11670050.78380004
FINAL13_G2PIT,0.1107691019518122,0.6761861361499154,-0.2594716052843581,0.3293147208121827,0.14530205758269674,0.5953697137517935,2.3789853334400126,1689492.6667200064
FINAL13_ORIG38_G2PIT,0.2292864401142733,1.2068776562557295,-0.1911217439855286,0.557741116751269,0.26375562974382405,0.6070657138258572,13.03624616660004,7018123.083300021
FINAL13_F2v3_G2PIT,0.2640469244264766,1.247397546275138,-0.2320884059522481,0.5615482233502538,0.27401812778697937,0.6237282142294853,19.50472875224006,10252364.376120027
FINAL13_F2v3_ORIG38_G2PIT,0.2529672204909496,1.2187651481270338,-0.2160378532230358,0.5418781725888325,0.2757676159076628,0.6263338780877996,17.057534466600046,9028767.233300025
