tag,start,end,holdings_num,annual_return,sharpe_ratio,max_drawdown,total_return,final_value,trades,nav_error,pool_mode,core_pool_size,static_pool_size
G1R,2018-06-01,2026-06-25,5,0.153575363584408,0.7621649653712803,-0.2528550343734369,1.8048929516800123,1402446.4758400065,4386,,pit,0,0
G2R,2018-06-01,2026-06-25,5,0.1827453390602031,0.879798783934656,-0.2585462517593379,2.4818006543600157,1740900.327180008,4103,,pit,0,0
J1R_001,2018-06-01,2026-06-25,5,0.1827453390602031,0.879798783934656,-0.2585462517593379,2.4818006543600157,1740900.327180008,4103,,pit,0,0
J1R_005,2018-06-01,2026-06-25,5,0.1429203268649038,0.687474777073313,-0.2673145704015885,1.5575323565200376,1278766.1782600188,4083,,pit,0,0
J1R_010,2018-06-01,2026-06-25,5,0.094827071593204,0.4566366598326895,-0.318179218205489,0.7633138222000035,881656.9111000018,4035,,pit,0,0
J1R_020,2018-06-01,2026-06-25,5,-0.0026405702607005,-0.0126453111086064,-0.5394841650261384,-0.1725625975199992,413718.7012400004,4000,,pit,0,0
K2R,2018-06-01,2026-06-25,5,0.1411498562439002,0.679799338735946,-0.2605724751160326,1.52385108366001,1261925.5418300051,4058,,pit,0,0
K3R,2018-06-01,2026-06-25,5,0.1219531657084145,0.597243317097261,-0.2708730464708355,1.1874841955400068,1093742.0977700034,3791,,pit,0,0
K4R_daily,2018-06-01,2026-06-25,5,0.1827453390602031,0.879798783934656,-0.2585462517593379,2.4818006543600157,1740900.327180008,4103,,pit,0,0
K4R_e2d,2018-06-01,2026-06-25,5,0.1890164326002718,0.9033657992312109,-0.2739756661511269,2.644660135840011,1822330.0679200056,2911,,pit,0,0
K4R_e3d,2018-06-01,2026-06-25,5,0.1742535423825986,0.8536390705600297,-0.1961416368915469,2.278123622840011,1639061.8114200055,2446,,pit,0,0
K4R_weekly,2018-06-01,2026-06-25,5,0.151891435988401,0.7007198302346926,-0.3068900159288715,1.6944106580400056,1347205.3290200029,1802,,pit,0,0
K5_500K,2018-06-01,2026-06-25,5,0.1411498562439002,0.679799338735946,-0.2605724751160326,1.52385108366001,1261925.5418300051,4058,,pit,0,0
K5_2M,2018-06-01,2026-06-25,5,0.1409035907639564,0.6789855368350531,-0.2604403490804822,1.5195394060000087,5039078.812000018,4368,,pit,0,0
K5_5M,2018-06-01,2026-06-25,5,0.1380407203862491,0.6652400162121633,-0.2604376269661824,1.4643909291040105,12321954.645520052,4543,,pit,0,0
K5_10M,2018-06-01,2026-06-25,5,0.1343088934340345,0.6478102275218894,-0.2607498658660937,1.394853717156014,23948537.171560142,4776,,pit,0,0
FINAL13_ORIG38,2013-07-01,2026-06-25,5,0.2225799313409981,1.417758875067706,-0.1514788362387817,12.860404481240034,6930202.240620017,5254,,static,0,38
FINAL13_F2v3,2013-07-01,2026-06-25,5,0.2872117619811729,1.4051492404368588,-0.2509889578458559,26.919815405080065,13959907.702540033,5881,,static,0,44
FINAL13_F2v3_ORIG38,2013-07-01,2026-06-25,5,0.2683892393167206,1.3552723691535264,-0.197453180871154,21.437905109920052,11218952.554960024,6749,,static,0,64
FINAL13_POOL19,2013-07-01,2026-06-25,5,0.2666073086362464,1.558319906189083,-0.2889630777157286,22.340101567600083,11670050.783800041,3782,0.0,static,0,19
FINAL13_G2PIT,2013-07-01,2026-06-25,5,0.1107691019518122,0.6761861361499154,-0.2594716052843581,2.3789853334400126,1689492.6667200064,4135,,pit,0,0
FINAL13_ORIG38_G2PIT,2013-07-01,2026-06-25,5,0.2292864401142733,1.2068776562557295,-0.1911217439855286,13.03624616660004,7018123.083300021,6217,,pit,38,0
FINAL13_F2v3_G2PIT,2013-07-01,2026-06-25,5,0.2640469244264766,1.247397546275138,-0.2320884059522481,19.50472875224006,10252364.376120027,6536,,pit,44,0
FINAL13_F2v3_ORIG38_G2PIT,2013-07-01,2026-06-25,5,0.2529672204909496,1.2187651481270338,-0.21603785322303581,17.057534466600046,9028767.233300023,7023,0.0,pit,64,0
