source_type,tag,file,start,end,initial_cash,execution_mode,cost_bp,annual_return,cagr,sharpe,max_drawdown,win_rate,nonzero_day_win_rate,total_return,final_value,annual_volatility,trade_count,orders,avg_slippage_bp,capacity_limited_rate,avg_abs_exposure_gap,days,alpha,beta
alpha_beta_legacy_table,FINAL13_F2v3,outputs/etf_loop/etf_loop_metrics_with_alpha_beta.csv,,,,,,0.2872117619811729,,1.4051492404368588,-0.2509889578458559,0.569479695431472,,26.919815405080065,13959907.702540033,,,,,,,,0.3105336778404033,0.6018622443681241
alpha_beta_legacy_table,FINAL13_F2v3_ORIG38,outputs/etf_loop/etf_loop_metrics_with_alpha_beta.csv,,,,,,0.2683892393167206,,1.3552723691535264,-0.197453180871154,0.5491751269035533,,21.437905109920052,11218952.554960024,,,,,,,,0.3006006156289593,0.5992925512759624
alpha_beta_legacy_table,FINAL13_POOL19,outputs/etf_loop/etf_loop_metrics_with_alpha_beta.csv,,,,,,0.2666073086362464,,1.558319906189083,-0.2889630777157286,0.5269670050761421,,22.340101567600083,11670050.78380004,,,,,,,,0.2492373310345344,0.3264101269516055
alpha_beta_legacy_table,FINAL13_F2v3_G2PIT,outputs/etf_loop/etf_loop_metrics_with_alpha_beta.csv,,,,,,0.2640469244264766,,1.247397546275138,-0.2320884059522481,0.5615482233502538,,19.50472875224006,10252364.376120027,,,,,,,,0.2740181277869793,0.6237282142294853
alpha_beta_legacy_table,FINAL13_F2v3_ORIG38_G2PIT,outputs/etf_loop/etf_loop_metrics_with_alpha_beta.csv,,,,,,0.2529672204909496,,1.2187651481270338,-0.2160378532230358,0.5418781725888325,,17.057534466600046,9028767.233300025,,,,,,,,0.2757676159076628,0.6263338780877996
alpha_beta_legacy_table,FINAL13_ORIG38_G2PIT,outputs/etf_loop/etf_loop_metrics_with_alpha_beta.csv,,,,,,0.2292864401142733,,1.2068776562557295,-0.1911217439855286,0.557741116751269,,13.03624616660004,7018123.083300021,,,,,,,,0.263755629743824,0.6070657138258572
alpha_beta_legacy_table,FINAL13_ORIG38,outputs/etf_loop/etf_loop_metrics_with_alpha_beta.csv,,,,,,0.2225799313409981,,1.417758875067706,-0.1514788362387817,0.565989847715736,,12.860404481240034,6930202.240620017,,,,,,,,0.2595736758443304,0.4607931149573376
alpha_beta_legacy_table,K4R_e2d,outputs/etf_loop/etf_loop_metrics_with_alpha_beta.csv,,,,,,0.1890164326002718,,0.9033657992312109,-0.2739756661511269,0.5325474115838031,,2.644660135840011,1822330.0679200056,,,,,,,,0.1565483140956242,0.6200756404386698
alpha_beta_legacy_table,G2R,outputs/etf_loop/etf_loop_metrics_with_alpha_beta.csv,,,,,,0.1827453390602031,,0.879798783934656,-0.2585462517593379,0.5279343926191696,,2.4818006543600157,1740900.327180008,,,,,,,,0.1504146216944012,0.617451555548911
alpha_beta_legacy_table,J1R_001,outputs/etf_loop/etf_loop_metrics_with_alpha_beta.csv,,,,,,0.1827453390602031,,0.879798783934656,-0.2585462517593379,0.5279343926191696,,2.4818006543600157,1740900.327180008,,,,,,,,0.1504146216944012,0.617451555548911
