setting,start,trading_start,end,initial_cash,execution_mode,roundtrip_cost_bp,max_participation,slippage_model,sqrt_k,cross_border_penalty_bp,commodity_penalty_bp,open_penalty_bp,spread_penalty_mult,spread_penalty_cap_bp,max_slippage_bp,near_limit_threshold_bp,near_limit_capacity_mult,tag_suffix,annual_return,cagr,sharpe,max_drawdown,total_return,final_value,orders,partial_or_failed_rate,failed_rate,capacity_limited_rate,lot_residual_rate,no_minute_data_rate,no_turnover_rate,limit_block_rate,avg_slippage_bp,avg_impact_component_bp,avg_extra_penalty_bp,avg_spread_proxy_bp,near_limit_rate,avg_participation,avg_abs_exposure_gap
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,vwap_0935_1030,7.0,0.1,sqrt,60.0,0.0,0.0,0.0,0.0,10.0,50.0,0.0,1.0,50k_sqrt60,0.7952714520759879,1.1068000601469912,2.5300321368242105,-0.13216587153245973,0.37624485836810506,69656.63311242477,505.0,0.7861386138613862,0.36633663366336633,0.0,0.4198019801980198,0.027722772277227723,0.17425742574257425,0.0019801980198019802,2.3207906998544336,0.2934134927366028,0.0,13.630660824637946,0.0,4.907050728819675e-05,0.09703759385002594
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,twap_1000_1430,7.0,0.1,sqrt,60.0,0.0,0.0,0.0,0.0,10.0,50.0,0.0,1.0,50k_sqrt60,1.2163028504377327,2.149805191810341,3.3125964096811296,-0.1732022329794186,0.6351219733823183,82293.02081370763,464.0,0.7155172413793104,0.16379310344827586,0.0,0.5517241379310345,0.03017241379310345,0.00646551724137931,0.00646551724137931,2.248327357517898,0.22036799145619018,0.0,11.296440954208634,0.0,4.133170263677165e-05,0.030865078155844983
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,tail_vwap_1430_1455,7.0,0.1,sqrt,60.0,0.0,0.0,0.0,0.0,10.0,50.0,0.0,1.0,50k_sqrt60,1.3287416847743911,2.4824778633895486,3.3417350039754767,-0.15748343248917507,0.7070170953695118,85453.11427299974,463.0,0.7170626349892009,0.16630669546436286,0.0,0.550755939524838,0.03023758099352052,0.02159827213822894,0.01079913606911447,2.6330384760640504,0.571430544145597,0.0,10.345078570161965,0.0,0.0002793184140226224,0.043107923611676764
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,split_0935_1455,7.0,0.1,sqrt,60.0,0.0,0.0,0.0,0.0,10.0,50.0,0.0,1.0,50k_sqrt60,1.2197050193533636,2.161512858992968,3.3278182224876462,-0.16264709856378323,0.6377239265790973,82434.1859147579,461.0,0.7158351409978309,0.16919739696312364,0.0,0.5466377440347071,0.03036876355748373,0.021691973969631236,0.0021691973969631237,2.313625711853378,0.28061106065122193,0.0,12.20666142511516,0.0,7.222928551629281e-05,0.045262634922124644
