setting,start,trading_start,end,initial_cash,execution_mode,roundtrip_cost_bp,max_participation,annual_return,cagr,sharpe,max_drawdown,total_return,final_value,orders,partial_or_failed_rate,failed_rate,capacity_limited_rate,lot_residual_rate,no_minute_data_rate,no_turnover_rate,limit_block_rate,avg_slippage_bp,avg_participation,avg_abs_exposure_gap
WideA,2025-10-01,2026-01-02,2026-06-25,1000000.0,open_0935,5.0,0.1,0.7784499851704106,1.0677159487986212,2.42813694461146,-0.1427804734391691,0.3652443129158256,1394125.5577228982,541.0,0.744916820702403,0.25508317929759705,0.08502772643253234,0.41035120147874304,0.025878003696857672,0.16266173752310537,0.0018484288354898336,7.550868486352357,0.019667066516907226,0.10543452369806919
WideA,2025-10-01,2026-01-02,2026-06-25,1000000.0,open_0935,7.0,0.1,0.7764189978173923,1.0635133994193255,2.421594589922177,-0.14297065663281383,0.364054419860653,1392910.4929147318,540.0,0.7388888888888889,0.2537037037037037,0.08518518518518518,0.40555555555555556,0.025925925925925925,0.16296296296296298,0.001851851851851852,8.012406947890819,0.019662703075895478,0.10551461606432945
WideA,2025-10-01,2026-01-02,2026-06-25,1000000.0,open_0935,10.0,0.1,0.773493334518216,1.0575145716693397,2.4126248282036795,-0.143190016344533,0.3623535341415818,1391173.6255794938,539.0,0.7421150278293135,0.2523191094619666,0.08534322820037106,0.40816326530612246,0.025974025974025976,0.16326530612244897,0.0018552875695732839,8.712158808933003,0.01965255139910366,0.10535677526995953
WideA,2025-10-01,2026-01-02,2026-06-25,1000000.0,open_0935,15.0,0.1,0.7652606363046525,1.0406804348474248,2.3868475020506876,-0.14393129054191356,0.3575652559001814,1386229.8522164994,542.0,0.7472324723247232,0.25276752767527677,0.08487084870848709,0.4114391143911439,0.025830258302583026,0.16236162361623616,0.0018450184501845018,9.891358024691359,0.019533717904442173,0.10526201069943736
WideA,2025-10-01,2026-01-02,2026-06-25,1000000.0,open_0935,20.0,0.1,0.752384184527686,1.014571664108776,2.345922895578165,-0.1451664465002399,0.3500940501238947,1378466.1377087657,542.0,0.7527675276752768,0.24907749077490776,0.08487084870848709,0.42435424354243545,0.025830258302583026,0.16236162361623616,0.0018450184501845018,11.336609336609337,0.019402478774794462,0.10504963462409968
WideA,2025-10-01,2026-01-02,2026-06-25,1000000.0,vwap_0935_1030,5.0,0.1,0.7791512582423044,1.0728381619071308,2.474212338317981,-0.13184793348682922,0.3666927287399169,1383886.6776088255,529.0,0.6578449905482041,0.27032136105860116,0.0,0.387523629489603,0.026465028355387523,0.16446124763705103,0.001890359168241966,1.349740932642487,0.0008254620625399544,0.09102725911553085
WideA,2025-10-01,2026-01-02,2026-06-25,1000000.0,vwap_0935_1030,7.0,0.1,0.7678924892122431,1.0496184769877352,2.4375522199216855,-0.13247564240176357,0.36011037875564855,1377085.5402714435,528.0,0.6515151515151515,0.2689393939393939,0.0,0.38257575757575757,0.026515151515151516,0.16477272727272727,0.001893939393939394,2.2979274611398965,0.000822526351677554,0.09113272737802697
WideA,2025-10-01,2026-01-02,2026-06-25,1000000.0,vwap_0935_1030,10.0,0.1,0.750926501745993,1.0151836883426082,2.383186389679691,-0.13339966085943633,0.3502698163562916,1366913.3260626157,527.0,0.6641366223908919,0.2732447817836812,0.0,0.3908918406072106,0.026565464895635674,0.1650853889943074,0.0018975332068311196,3.7219321148825064,0.0008250097617291447,0.09105575115366649
WideA,2025-10-01,2026-01-02,2026-06-25,1000000.0,vwap_0935_1030,15.0,0.1,0.7214298364669991,0.956658858195325,2.288411280099374,-0.13491919585954348,0.3333220107579351,1349419.049638211,528.0,0.6628787878787878,0.2689393939393939,0.0,0.39204545454545453,0.026515151515151516,0.16477272727272727,0.001893939393939394,6.119170984455959,0.0008109245508337748,0.09104523517648865
WideA,2025-10-01,2026-01-02,2026-06-25,1000000.0,vwap_0935_1030,20.0,0.1,0.6903607361192331,0.8967877638818109,2.188018500462896,-0.13645776953746125,0.3156818642786896,1331224.7731481472,528.0,0.6571969696969697,0.26704545454545453,0.0,0.38825757575757575,0.026515151515151516,0.16477272727272727,0.001893939393939394,8.560723514211887,0.0008012392606949367,0.090963842980534
WideA,2025-10-01,2026-01-02,2026-06-25,1000000.0,twap_0935_1030,5.0,0.1,0.768496651811468,1.0510518295070397,2.442179743446516,-0.1312491912147965,0.36051793786427133,1377355.7321030253,527.0,0.6603415559772297,0.2675521821631879,0.0,0.3927893738140417,0.026565464895635674,0.1650853889943074,0.0018975332068311196,1.339378238341969,0.0008169254385685897,0.09105466882841647
WideA,2025-10-01,2026-01-02,2026-06-25,1000000.0,twap_0935_1030,7.0,0.1,0.7558987206969757,1.0254279959394208,2.401975275561417,-0.13183760951755408,0.3532073454341529,1369817.873719945,525.0,0.6704761904761904,0.26857142857142857,0.0,0.4,0.02666666666666667,0.1657142857142857,0.0019047619047619048,2.2916666666666665,0.0008186487475613811,0.09097049583223497
WideA,2025-10-01,2026-01-02,2026-06-25,1000000.0,twap_0935_1030,10.0,0.1,0.7386487847025905,0.9907990759806473,2.346220541518234,-0.1327759177188793,0.3432430836589948,1359525.6743894063,525.0,0.6628571428571428,0.2761904761904762,0.0,0.38476190476190475,0.02666666666666667,0.1657142857142857,0.0019047619047619048,3.7157894736842105,0.0008227408801253886,0.09098454088183663
WideA,2025-10-01,2026-01-02,2026-06-25,1000000.0,twap_0935_1030,15.0,0.1,0.7088597546221261,0.9324082611233351,2.2503601055376397,-0.134315002674114,0.32621461036634414,1341959.7249082236,528.0,0.6723484848484849,0.26704545454545453,0.0,0.4053030303030303,0.026515151515151516,0.16477272727272727,0.001893939393939394,6.118863049095607,0.0008002702661516898,0.0909760166440496
WideA,2025-10-01,2026-01-02,2026-06-25,1000000.0,twap_0935_1030,20.0,0.1,0.6782612444033985,0.8741626617806553,2.1514955089393832,-0.13585522923564863,0.3089329677107533,1324142.6602620014,526.0,0.6634980988593155,0.27566539923954375,0.0,0.38593155893536124,0.026615969581749048,0.16539923954372623,0.0019011406844106464,8.561679790026247,0.0008082437455995032,0.09098938134832545
WideA,2025-10-01,2026-01-02,2026-06-25,1000000.0,tail_vwap_1430_1455,5.0,0.1,1.3622878498802364,2.596688318923553,3.400846333588734,-0.15800129204634727,0.7307887316487345,1733145.4026533612,496.0,0.5483870967741935,0.06451612903225806,0.008064516129032258,0.4717741935483871,0.028225806451612902,0.020161290322580645,0.010080645161290322,2.439655172413793,0.004065535020078959,0.03621507526443051
WideA,2025-10-01,2026-01-02,2026-06-25,1000000.0,tail_vwap_1430_1455,7.0,0.1,1.3492889883462984,2.550461473446814,3.368463349000787,-0.15868504663742,0.7212198452557419,1723391.4799334116,499.0,0.5410821643286573,0.06813627254509018,0.008016032064128256,0.46092184368737477,0.028056112224448898,0.02004008016032064,0.01002004008016032,3.29247311827957,0.004046879040064333,0.03620077715848467
WideA,2025-10-01,2026-01-02,2026-06-25,1000000.0,tail_vwap_1430_1455,10.0,0.1,1.3300548451212446,2.483054335440871,3.319996626448334,-0.1597096378604892,0.7071381915480708,1709035.2080445522,498.0,0.5321285140562249,0.06827309236947791,0.008032128514056224,0.4538152610441767,0.028112449799196786,0.020080321285140562,0.010040160642570281,4.578663793103448,0.0040401409492859105,0.0360135440497269
WideA,2025-10-01,2026-01-02,2026-06-25,1000000.0,tail_vwap_1430_1455,15.0,0.1,1.2956093361103942,2.3654426952246683,3.232832536201496,-0.161367977277192,0.6821907036561803,1683638.8453550513,498.0,0.5301204819277109,0.07028112449799197,0.008032128514056224,0.45180722891566266,0.028112449799196786,0.020080321285140562,0.010040160642570281,6.760259179265659,0.004022257517928315,0.03606948385261824
WideA,2025-10-01,2026-01-02,2026-06-25,1000000.0,tail_vwap_1430_1455,20.0,0.1,1.2601348842021334,2.2484768112200473,3.1432533616974707,-0.1631807364198138,0.6568810482200549,1657894.0455630298,498.0,0.5421686746987951,0.06827309236947791,0.008032128514056224,0.46586345381526106,0.028112449799196786,0.020080321285140562,0.010040160642570281,9.026939655172415,0.0039844531371598544,0.03605581559460993
WideA,2025-10-01,2026-01-02,2026-06-25,1000000.0,t2_open_0935,5.0,0.1,0.5132114213261295,0.5851394120209816,1.5893777479859303,-0.14472676662385897,0.21826901573024626,1216342.5549372549,539.0,0.7217068645640075,0.23376623376623376,0.08348794063079777,0.40816326530612246,0.025974025974025976,0.15769944341372913,0.0018552875695732839,7.016949152542373,0.01841466027670335,0.10530387175148583
WideA,2025-10-01,2026-01-02,2026-06-25,1000000.0,t2_open_0935,7.0,0.1,0.5104947565833243,0.5808589270958495,1.5810888406831156,-0.14477162794777387,0.2168580146657313,1214909.4541741216,538.0,0.7342007434944238,0.23234200743494424,0.08364312267657993,0.42379182156133827,0.026022304832713755,0.1579925650557621,0.0018587360594795538,7.552058111380146,0.018405926031257607,0.10523252598447659
WideA,2025-10-01,2026-01-02,2026-06-25,1000000.0,t2_open_0935,10.0,0.1,0.5059607389670944,0.573720947143761,1.5670754432063625,-0.1448804319764927,0.21450021681760467,1212519.0062019117,535.0,0.7289719626168224,0.23551401869158878,0.08411214953271028,0.41682242990654206,0.026168224299065422,0.1588785046728972,0.001869158878504673,8.267726161369193,0.018578953639513694,0.10521163794042054
WideA,2025-10-01,2026-01-02,2026-06-25,1000000.0,t2_open_0935,15.0,0.1,0.49625541410936846,0.5585493775275461,1.5370720776944304,-0.1450925975956725,0.2094684065224386,1207411.931811458,537.0,0.7411545623836127,0.23649906890130354,0.08379888268156424,0.42830540037243947,0.0260707635009311,0.15828677839851024,0.00186219739292365,9.585365853658537,0.018509787014121138,0.10500209078490327
WideA,2025-10-01,2026-01-02,2026-06-25,1000000.0,t2_open_0935,20.0,0.1,0.483191993539154,0.5384204787996194,1.4972492970002669,-0.1452037204385187,0.2027490497739548,1200583.8500336139,536.0,0.7444029850746269,0.23507462686567165,0.08395522388059702,0.43283582089552236,0.026119402985074626,0.15858208955223882,0.0018656716417910447,11.109756097560975,0.018486495776206858,0.1049485358560568
