setting,start,trading_start,end,initial_cash,execution_mode,roundtrip_cost_bp,max_participation,slippage_model,sqrt_k,cross_border_penalty_bp,commodity_penalty_bp,open_penalty_bp,spread_penalty_mult,spread_penalty_cap_bp,max_slippage_bp,near_limit_threshold_bp,near_limit_capacity_mult,tag_suffix,annual_return,cagr,sharpe,max_drawdown,total_return,final_value,orders,partial_or_failed_rate,failed_rate,capacity_limited_rate,lot_residual_rate,no_minute_data_rate,no_turnover_rate,limit_block_rate,avg_slippage_bp,avg_impact_component_bp,avg_extra_penalty_bp,avg_spread_proxy_bp,near_limit_rate,avg_participation,avg_abs_exposure_gap
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,vwap_0935_1030,7.0,0.1,sqrt,40.0,2.0,2.0,2.0,0.25,5.0,50.0,50.0,0.5,50k_all_penalties,0.7209967964029446,0.955828206471194,2.287461860524551,-0.13651589416215737,0.33307939734560854,67429.3953289392,498.0,0.7871485943775101,0.36947791164658633,0.0,0.41767068273092367,0.028112449799196786,0.17670682730923695,0.002008032128514056,8.385859441690164,0.19700903355456795,6.010769489671031,13.594755423688424,0.0,4.880401502061758e-05,0.09648932727559048
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,twap_1000_1430,7.0,0.1,sqrt,40.0,2.0,2.0,2.0,0.25,5.0,50.0,50.0,0.5,50k_all_penalties,1.1571357649861147,1.9689821181606386,3.146747176554438,-0.17639869297788857,0.5942121199882304,80211.91905122304,465.0,0.7075268817204301,0.16989247311827957,0.0,0.5376344086021505,0.030107526881720432,0.0064516129032258064,0.0064516129032258064,5.606990580658133,0.14548428755048753,3.359680191953781,11.351132554782156,0.004301075268817204,4.10373890162315e-05,0.03001035493192461
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,tail_vwap_1430_1455,7.0,0.1,sqrt,40.0,2.0,2.0,2.0,0.25,5.0,50.0,50.0,0.5,50k_all_penalties,1.2789881371706222,2.3132773334923162,3.2110536918801693,-0.16064019314539701,0.6709660418529937,83634.45566870001,485.0,0.7319587628865979,0.2020618556701031,0.0,0.5298969072164949,0.0288659793814433,0.020618556701030927,0.010309278350515464,5.513286304810436,0.3615036839343556,2.971095556708912,10.193014765167344,0.006185567010309278,0.0002750788767946502,0.05130805287473725
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,split_0935_1455,7.0,0.1,sqrt,40.0,2.0,2.0,2.0,0.25,5.0,50.0,50.0,0.5,50k_all_penalties,1.1278574177375504,1.884021746383648,3.067941487395623,-0.16769935996271368,0.574498413879875,79211.89616992274,461.0,0.720173535791757,0.1822125813449024,0.0,0.5379609544468547,0.03036876355748373,0.021691973969631236,0.0021691973969631237,7.76941309536292,0.18465889297195323,5.466889986188596,12.276562013850468,0.0021691973969631237,7.187079691637881e-05,0.04441884340298984
