setting,start,trading_start,end,initial_cash,execution_mode,roundtrip_cost_bp,max_participation,slippage_model,sqrt_k,cross_border_penalty_bp,commodity_penalty_bp,open_penalty_bp,spread_penalty_mult,spread_penalty_cap_bp,max_slippage_bp,near_limit_threshold_bp,near_limit_capacity_mult,tag_suffix,annual_return,cagr,sharpe,max_drawdown,total_return,final_value,orders,partial_or_failed_rate,failed_rate,capacity_limited_rate,lot_residual_rate,no_minute_data_rate,no_turnover_rate,limit_block_rate,avg_slippage_bp,avg_impact_component_bp,avg_extra_penalty_bp,avg_spread_proxy_bp,near_limit_rate,avg_participation,avg_abs_exposure_gap
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,vwap_0935_1030,7.0,0.1,sqrt,20.0,0.0,0.0,0.0,0.0,10.0,50.0,0.0,1.0,50k_sqrt20,0.7991164881396887,1.114932098936666,2.5427137682928564,-0.13191989158980388,0.37851899625703345,69772.8170691244,499.0,0.7855711422845691,0.3687374749498998,0.0,0.4168336673346693,0.028056112224448898,0.17635270541082165,0.002004008016032064,2.1084120937716846,0.09907440810706362,0.0,13.575009313202104,0.0,4.991577830249419e-05,0.09701781157696228
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,twap_1000_1430,7.0,0.1,sqrt,20.0,0.0,0.0,0.0,0.0,10.0,50.0,0.0,1.0,50k_sqrt20,1.22239456972676,2.1692323351532625,3.3313144666838044,-0.17259732659948201,0.6394365192898412,82511.15433106289,461.0,0.7136659436008677,0.15835140997830802,0.0,0.5553145336225597,0.03036876355748373,0.006507592190889371,0.006507592190889371,2.0828332030732235,0.07390154580271731,0.0,11.260304927642407,0.0,4.138085369573474e-05,0.031101031508178636
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,tail_vwap_1430_1455,7.0,0.1,sqrt,20.0,0.0,0.0,0.0,0.0,10.0,50.0,0.0,1.0,50k_sqrt20,1.3387757420251138,2.517347440232894,3.3664752838754484,-0.15734386115948773,0.7143214470161707,85821.2908414409,462.0,0.70995670995671,0.16233766233766234,0.0,0.5476190476190477,0.030303030303030304,0.021645021645021644,0.010822510822510822,2.21058713042544,0.191049470458984,0.0,10.194742988321464,0.0,0.00027987276352437146,0.04301702741127133
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,split_0935_1455,7.0,0.1,sqrt,20.0,0.0,0.0,0.0,0.0,10.0,50.0,0.0,1.0,50k_sqrt20,1.2243611937798418,2.1761860976502962,3.3403790458475404,-0.16263183886509458,0.6409771961621296,82599.06991523167,459.0,0.7189542483660131,0.16993464052287582,0.0,0.5490196078431373,0.030501089324618737,0.02178649237472767,0.002178649237472767,2.105477143368786,0.09398078735286389,0.0,12.331854212016344,0.0,7.29826629118079e-05,0.045565817469454976
