setting,start,trading_start,end,initial_cash,execution_mode,roundtrip_cost_bp,max_participation,slippage_model,sqrt_k,cross_border_penalty_bp,commodity_penalty_bp,open_penalty_bp,spread_penalty_mult,spread_penalty_cap_bp,max_slippage_bp,near_limit_threshold_bp,near_limit_capacity_mult,tag_suffix,annual_return,cagr,sharpe,max_drawdown,total_return,final_value,orders,partial_or_failed_rate,failed_rate,capacity_limited_rate,lot_residual_rate,no_minute_data_rate,no_turnover_rate,limit_block_rate,avg_slippage_bp,avg_impact_component_bp,avg_extra_penalty_bp,avg_spread_proxy_bp,near_limit_rate,avg_participation,avg_abs_exposure_gap
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,vwap_0935_1030,7.0,0.1,sqrt,40.0,0.0,0.0,0.0,0.0,10.0,50.0,0.0,1.0,50k_sqrt40,0.7977478241261905,1.1120596168802184,2.538500704799007,-0.13195864487066122,0.37771627367085014,69731.6472307587,501.0,0.7844311377245509,0.3652694610778443,0.0,0.41916167664670656,0.027944111776447105,0.17564870259481039,0.001996007984031936,2.2167792215346465,0.19733079446391089,0.0,13.526739919961978,0.0,4.9427898935807695e-05,0.09710119647551353
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,twap_1000_1430,7.0,0.1,sqrt,40.0,0.0,0.0,0.0,0.0,10.0,50.0,0.0,1.0,50k_sqrt40,1.219863341699451,2.161198534718679,3.3239309372481154,-0.17255606049604577,0.63765414203995,82420.95492355971,464.0,0.7112068965517241,0.16379310344827586,0.0,0.5474137931034483,0.03017241379310345,0.00646551724137931,0.00646551724137931,2.1656563023222146,0.14696023335410693,0.0,11.265140368617962,0.0,4.13526538761438e-05,0.0309931516594076
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,tail_vwap_1430_1455,7.0,0.1,sqrt,40.0,0.0,0.0,0.0,0.0,10.0,50.0,0.0,1.0,50k_sqrt40,1.3340657316138138,2.5008144782001547,3.354123108191067,-0.15728513305762148,0.7108633659907289,85646.91638137205,462.0,0.7229437229437229,0.16666666666666666,0.0,0.5562770562770563,0.030303030303030304,0.021645021645021644,0.010822510822510822,2.422745028159713,0.3820850237453213,0.0,10.195332088385628,0.0,0.00028049744737036145,0.04311991012890297
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,split_0935_1455,7.0,0.1,sqrt,40.0,0.0,0.0,0.0,0.0,10.0,50.0,0.0,1.0,50k_sqrt40,1.2219734873700092,2.1685004211452177,3.332717262891953,-0.16278234306331052,0.6392742439753347,82512.7859217397,460.0,0.7021739130434783,0.17608695652173914,0.0,0.5260869565217391,0.030434782608695653,0.021739130434782608,0.002173913043478261,2.21171834744235,0.18733372031234458,0.0,12.31205053022961,0.0,7.332667374740076e-05,0.04527092952044377
