setting,start,trading_start,end,initial_cash,execution_mode,roundtrip_cost_bp,max_participation,slippage_model,sqrt_k,cross_border_penalty_bp,commodity_penalty_bp,open_penalty_bp,spread_penalty_mult,spread_penalty_cap_bp,max_slippage_bp,near_limit_threshold_bp,near_limit_capacity_mult,tag_suffix,annual_return,cagr,sharpe,max_drawdown,total_return,final_value,orders,partial_or_failed_rate,failed_rate,capacity_limited_rate,lot_residual_rate,no_minute_data_rate,no_turnover_rate,limit_block_rate,avg_slippage_bp,avg_impact_component_bp,avg_extra_penalty_bp,avg_spread_proxy_bp,near_limit_rate,avg_participation,avg_abs_exposure_gap
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,vwap_0935_1030,7.0,0.1,sqrt,40.0,0.0,0.0,0.0,0.25,5.0,50.0,0.0,1.0,50k_spread_only,0.7531126520987229,1.0199086229855299,2.3942455855914098,-0.13479851216180305,0.35162573697325006,68380.74652519314,508.0,0.7952755905511811,0.38976377952755903,0.0,0.40551181102362205,0.027559055118110236,0.1732283464566929,0.001968503937007874,6.006033068281649,0.19293954483691986,3.670193493050374,14.016404946822746,0.0,4.986963223524458e-05,0.09656808808555264
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,twap_1000_1430,7.0,0.1,sqrt,40.0,0.0,0.0,0.0,0.25,5.0,50.0,0.0,1.0,50k_spread_only,1.1682154157298328,2.00202109216498,3.1777318653952795,-0.17593511929029537,0.6017911442032895,80593.2535481845,470.0,0.7191489361702128,0.17446808510638298,0.0,0.5446808510638298,0.029787234042553193,0.006382978723404255,0.006382978723404255,4.982680054600288,0.14425480079311684,2.778566821147359,11.326857759714473,0.0,4.0926770886456524e-05,0.03017551658778436
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,tail_vwap_1430_1455,7.0,0.1,sqrt,40.0,0.0,0.0,0.0,0.25,5.0,50.0,0.0,1.0,50k_spread_only,1.2922070166974515,2.357131066180285,3.243894774576005,-0.15995577858641585,0.6804089439454599,84107.08764125672,475.0,0.7157894736842105,0.20210526315789473,0.0,0.5136842105263157,0.029473684210526315,0.021052631578947368,0.010526315789473684,4.957320888570849,0.3696817828259772,2.4424452690358454,10.269892599602473,0.0,0.0002820263325865833,0.051424397320777915
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,split_0935_1455,7.0,0.1,sqrt,40.0,0.0,0.0,0.0,0.25,5.0,50.0,0.0,1.0,50k_spread_only,1.1752638241912232,2.02417294421409,3.2025706916515158,-0.16548257057465732,0.6068460417153814,80855.09097679885,461.0,0.7114967462039046,0.1822125813449024,0.0,0.5292841648590022,0.03036876355748373,0.021691973969631236,0.0021691973969631237,5.195481023126143,0.1861966865277462,2.912034278778121,12.254573019397151,0.0,7.27045904654604e-05,0.044888633557078686
