setting,start,trading_start,end,initial_cash,execution_mode,roundtrip_cost_bp,max_participation,annual_return,cagr,sharpe,max_drawdown,total_return,final_value,orders,partial_or_failed_rate,failed_rate,capacity_limited_rate,lot_residual_rate,no_minute_data_rate,no_turnover_rate,limit_block_rate,avg_slippage_bp,avg_participation,avg_abs_exposure_gap
F2_CAP_MA60,2013-07-01,2013-07-01,2026-06-25,1000000.0,open_0935,7.0,0.1,0.09812710902663224,0.08275409980907367,0.4994945596639166,-0.5859016721324976,1.68207814832701,2682078.1483270098,22686.0,0.9000264480296218,0.2464956360751124,0.43524640747597637,0.25522348585030413,0.02173146433924006,0.13276910870140174,0.00022040024684827648,14.684918684918685,0.059788815689753354,0.22020843692072226
F2_CAP_MA60,2013-07-01,2013-07-01,2026-06-25,1000000.0,vwap_0935_1030,7.0,0.1,0.16425332100024317,0.15673653734104387,0.8519643395142882,-0.3226420492013624,5.090588699295512,6090588.6992955115,17478.0,0.7242819544570317,0.1184346035015448,0.1543654880421101,0.4542281725597894,0.028206888660029752,0.011500171644352901,0.0002860739215013159,7.297507788161994,0.023067451120463902,0.05927385507998971
F2_CAP_MA60,2013-07-01,2013-07-01,2026-06-25,1000000.0,twap_0935_1030,7.0,0.1,0.16614299302159274,0.15896259029050563,0.8625251016114533,-0.32081989601722505,5.237637274740526,6237637.2747405255,17397.0,0.723630511007645,0.11731907800195436,0.15606138989480944,0.45306662068172676,0.028338219233201126,0.011553716157958268,0.00028740587457607634,7.3473560823131026,0.023293908024565206,0.059553008112278774
F2_CAP_MA60,2013-07-01,2013-07-01,2026-06-25,1000000.0,tail_vwap_1430_1455,7.0,0.1,0.15546439087712566,0.14625559292274093,0.7987842759469777,-0.37688999712835736,4.440110692002201,5440110.692002201,18488.0,0.7770986585893552,0.11277585460839464,0.24675465166594548,0.4239506707053224,0.026665945478147986,0.006869320640415405,0.0010276936391172653,9.52965920868134,0.033652434771399974,0.07872190514083656
F2_CAP_MA60,2013-07-01,2013-07-01,2026-06-25,1000000.0,t2_open_0935,7.0,0.1,0.11531745208098643,0.09658246054030051,0.512422853946055,-0.5142306489328776,2.139508241734944,3139508.241734944,22911.0,0.9065077910174152,0.23552005586836017,0.45510889965518747,0.25249879970319933,0.021605342411941862,0.12570381039675266,0.00043647156387761335,15.037739080787896,0.06153058108495005,0.21958762485011543
