setting,start,trading_start,end,initial_cash,execution_mode,roundtrip_cost_bp,max_participation,annual_return,cagr,sharpe,max_drawdown,total_return,final_value,orders,partial_or_failed_rate,failed_rate,capacity_limited_rate,lot_residual_rate,no_minute_data_rate,no_turnover_rate,limit_block_rate,avg_slippage_bp,avg_participation,avg_abs_exposure_gap
WideA,2013-07-01,2013-07-01,2026-06-25,1000000.0,open_0935,7.0,0.1,0.11743162314318827,0.10331209523998397,0.5895759947504965,-0.5294175308783804,2.387136244279743,3387136.244279743,18227.0,0.8940582652109508,0.23755966423437758,0.4655181873045482,0.22686124979426125,0.023755966423437757,0.14045097931639874,0.0003840456465682778,15.50428149960423,0.0639767527228943,0.2827961930709476
WideA,2013-07-01,2013-07-01,2026-06-25,1000000.0,vwap_0935_1030,7.0,0.1,0.17789779777384446,0.17073326851345771,0.8838552832312805,-0.32126387767058406,6.070926946399013,7070926.9463990135,13971.0,0.6862071433684059,0.10736525660296328,0.1908238494023334,0.3904516498461098,0.030992770739388734,0.013313291818767448,0.00021473051320592657,8.390987090048913,0.02800979027688233,0.08330952234833895
WideA,2013-07-01,2013-07-01,2026-06-25,1000000.0,twap_0935_1030,7.0,0.1,0.17891810407701217,0.17197532337310073,0.8898102849871057,-0.3200048464046287,6.164578831930547,7164578.831930547,13936.0,0.6844862227324914,0.10691733639494834,0.19252296211251435,0.3867680826636051,0.03107060849598163,0.013274971297359358,0.00021526980482204362,8.440061063795596,0.02823252833611106,0.08388156616076278
WideA,2013-07-01,2013-07-01,2026-06-25,1000000.0,tail_vwap_1430_1455,7.0,0.1,0.16755417122486188,0.15744588478502908,0.8110125806086886,-0.36979436689090395,5.137097050819296,6137097.050819296,14759.0,0.7449691713530727,0.0937732908733654,0.28755335727352804,0.36913069991191816,0.02933803103191273,0.007588590012873501,0.0014906158953858662,10.559626168224298,0.03845430707325009,0.11074359243474119
WideA,2013-07-01,2013-07-01,2026-06-25,1000000.0,t2_open_0935,7.0,0.1,0.11540944623394878,0.09562655684905219,0.5032805129723295,-0.5283105365757543,2.105717056974279,3105717.0569742788,18225.0,0.8945404663923182,0.2283676268861454,0.47401920438957473,0.22809327846364882,0.023868312757201648,0.1324554183813443,0.0004938271604938272,15.598236507146412,0.06420970144082365,0.27484559665183467
