setting,start,trading_start,end,initial_cash,execution_mode,roundtrip_cost_bp,max_participation,slippage_model,sqrt_k,cross_border_penalty_bp,commodity_penalty_bp,open_penalty_bp,spread_penalty_mult,spread_penalty_cap_bp,max_slippage_bp,near_limit_threshold_bp,near_limit_capacity_mult,tag_suffix,annual_return,cagr,sharpe,max_drawdown,total_return,final_value,orders,partial_or_failed_rate,failed_rate,capacity_limited_rate,lot_residual_rate,no_minute_data_rate,no_turnover_rate,limit_block_rate,avg_slippage_bp,avg_impact_component_bp,avg_extra_penalty_bp,avg_spread_proxy_bp,near_limit_rate,avg_participation,avg_abs_exposure_gap
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,vwap_0935_1030,7.0,0.1,sqrt,40.0,0.0,0.0,2.0,0.0,10.0,50.0,0.0,1.0,50k_open_only,0.7710523253192929,1.056283574810748,2.4501592522579645,-0.1333785296179888,0.3620041515048682,68922.99137495228,496.0,0.782258064516129,0.3810483870967742,0.0,0.4012096774193548,0.028225806451612902,0.1774193548387097,0.0020161290322580645,4.217494904169232,0.1985642125373457,2.0,13.646146658082941,0.0,5.0642142778052186e-05,0.09623151091694124
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,twap_1000_1430,7.0,0.1,sqrt,40.0,0.0,0.0,2.0,0.0,10.0,50.0,0.0,1.0,50k_open_only,1.219863341699451,2.161198534718679,3.3239309372481154,-0.17255606049604577,0.63765414203995,82420.95492355971,464.0,0.7112068965517241,0.16379310344827586,0.0,0.5474137931034483,0.03017241379310345,0.00646551724137931,0.00646551724137931,2.1656563023222146,0.14696023335410693,0.0,11.265140368617962,0.0,4.13526538761438e-05,0.0309931516594076
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,tail_vwap_1430_1455,7.0,0.1,sqrt,40.0,0.0,0.0,2.0,0.0,10.0,50.0,0.0,1.0,50k_open_only,1.3340657316138138,2.5008144782001547,3.354123108191067,-0.15728513305762148,0.7108633659907289,85646.91638137205,462.0,0.7229437229437229,0.16666666666666666,0.0,0.5562770562770563,0.030303030303030304,0.021645021645021644,0.010822510822510822,2.422745028159713,0.3820850237453213,0.0,10.195332088385628,0.0,0.00028049744737036145,0.04311991012890297
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,split_0935_1455,7.0,0.1,sqrt,40.0,0.0,0.0,2.0,0.0,10.0,50.0,0.0,1.0,50k_open_only,1.1881580936625606,2.06368130787079,3.2410372221664763,-0.16422895201865595,0.6158093194043737,81315.78330953649,464.0,0.7198275862068966,0.1853448275862069,0.0,0.5344827586206896,0.03017241379310345,0.021551724137931036,0.0021551724137931034,4.210729297430427,0.185231173468747,2.0,12.199830270073887,0.0,7.266018060004139e-05,0.045365996762509436
