setting,start,trading_start,end,initial_cash,execution_mode,roundtrip_cost_bp,max_participation,slippage_model,sqrt_k,cross_border_penalty_bp,commodity_penalty_bp,open_penalty_bp,spread_penalty_mult,spread_penalty_cap_bp,max_slippage_bp,near_limit_threshold_bp,near_limit_capacity_mult,tag_suffix,annual_return,cagr,sharpe,max_drawdown,total_return,final_value,orders,partial_or_failed_rate,failed_rate,capacity_limited_rate,lot_residual_rate,no_minute_data_rate,no_turnover_rate,limit_block_rate,avg_slippage_bp,avg_impact_component_bp,avg_extra_penalty_bp,avg_spread_proxy_bp,near_limit_rate,avg_participation,avg_abs_exposure_gap
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,open_0935,7.0,0.1,tiered,40.0,0.0,0.0,0.0,0.0,10.0,50.0,0.0,1.0,50k_exec_modes,0.8624048304688839,1.2514465421455174,2.7283365916785156,-0.12741438187718934,0.41597305274056384,72346.90133614956,500.0,0.778,0.354,0.002,0.422,0.028,0.176,0.002,2.7956656346749225,0.7884130982367759,0.0,23.33252715213956,0.0,0.00198321057896292,0.09687614233101711
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,vwap_0935_1030,7.0,0.1,tiered,40.0,0.0,0.0,0.0,0.0,10.0,50.0,0.0,1.0,50k_exec_modes,0.8007387218167009,1.1183756654136277,2.548122321702057,-0.13188703649220834,0.37948048920199406,69822.02365523847,495.0,0.7858585858585858,0.3696969696969697,0.0,0.4161616161616162,0.028282828282828285,0.17777777777777778,0.00202020202020202,2.0,0.0,0.0,13.522250197198215,0.0,5.041251449789917e-05,0.09702594999196439
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,twap_0935_1030,7.0,0.1,tiered,40.0,0.0,0.0,0.0,0.0,10.0,50.0,0.0,1.0,50k_exec_modes,0.7856644204040478,1.087037717155392,2.5038306181475987,-0.13123507214855978,0.37069729645165617,69362.11153810564,497.0,0.7806841046277666,0.3782696177062374,0.0,0.4024144869215292,0.028169014084507043,0.17706237424547283,0.002012072434607646,2.0,0.0,0.0,13.622552130159454,0.0,5.033582926588558e-05,0.09631271122626493
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,twap_1000_1430,7.0,0.1,tiered,40.0,0.0,0.0,0.0,0.0,10.0,50.0,0.0,1.0,50k_exec_modes,1.2237326163603421,2.1733094209268993,3.3338365689140588,-0.17301868383518337,0.6403400731355657,82557.12427077985,461.0,0.7114967462039046,0.1540130151843818,0.0,0.5574837310195228,0.03036876355748373,0.006507592190889371,0.006507592190889371,2.0,0.0,0.0,11.23792519200997,0.0,4.117885220272896e-05,0.030940085930948255
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,tail_vwap_1430_1455,7.0,0.1,tiered,40.0,0.0,0.0,0.0,0.0,10.0,50.0,0.0,1.0,50k_exec_modes,1.3423136991229263,2.5296985205866607,3.375099065333641,-0.15719601396734795,0.7168987769269652,85951.57812707158,469.0,0.7185501066098081,0.17270788912579957,0.0,0.5458422174840085,0.029850746268656716,0.021321961620469083,0.010660980810234541,2.0438144329896906,0.038636363636363635,0.0,10.201751751886842,0.0,0.0002792201962100431,0.04312020853246566
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,split_0935_1455,7.0,0.1,tiered,40.0,0.0,0.0,0.0,0.0,10.0,50.0,0.0,1.0,50k_exec_modes,1.2276392169922512,2.1866743484454476,3.350094438705632,-0.16247046204616056,0.6432973332880811,82716.42148178538,464.0,0.7133620689655172,0.1853448275862069,0.0,0.5280172413793104,0.03017241379310345,0.021551724137931036,0.0021551724137931034,2.007936507936508,0.00683371298405467,0.0,12.37076503340337,0.0,7.340612348195171e-05,0.045634613934772916
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,t2_open_0935,7.0,0.1,tiered,40.0,0.0,0.0,0.0,0.0,10.0,50.0,0.0,1.0,50k_exec_modes,0.5346381190466073,0.6212945266408925,1.673654891675392,-0.13828286620200292,0.23010114113501134,61435.69353770656,497.0,0.7686116700201208,0.3501006036217304,0.0,0.41851106639839036,0.028169014084507043,0.1710261569416499,0.002012072434607646,2.6594427244582044,0.6372795969773299,0.0,23.179125530996696,0.0,0.0016817935132587695,0.09489626044863946
