setting,start,trading_start,end,initial_cash,execution_mode,roundtrip_cost_bp,max_participation,annual_return,cagr,sharpe,max_drawdown,total_return,final_value,orders,partial_or_failed_rate,failed_rate,capacity_limited_rate,lot_residual_rate,no_minute_data_rate,no_turnover_rate,limit_block_rate,avg_slippage_bp,avg_participation,avg_abs_exposure_gap,source_file,slippage_model,sqrt_k,cross_border_penalty_bp,commodity_penalty_bp,open_penalty_bp,spread_penalty_mult,spread_penalty_cap_bp,max_slippage_bp,near_limit_threshold_bp,near_limit_capacity_mult,tag_suffix,avg_impact_component_bp,avg_extra_penalty_bp,avg_spread_proxy_bp,near_limit_rate
Exph_v3_exp_looser,2013-07-01,2013-07-01,2026-06-25,1000000.0,open_0935,7.0,0.1,0.1103950976067176,0.0988503823920756,0.601381001874661,-0.4985377423891387,2.2210360788742864,3221036.0788742863,19831.0,0.8839191165347183,0.2301447229085775,0.4382028137764107,0.2492562150168927,0.0226413191467903,0.1365034541878876,0.0003025566032978,14.802711731184909,0.0604286746381993,0.207777365266071,minute_execution_summary_Exph_v3_exp_looser_20130701_20260625.csv,,,,,,,,,,,,,,,
Exph_v3_exp_looser,2013-07-01,2013-07-01,2026-06-25,1000000.0,t2_open_0935,7.0,0.1,0.118405635268685,0.102695801655454,0.5536749351278841,-0.4773899955377731,2.3637335463165243,3363733.5463165245,19935.0,0.890092801605217,0.2232254828191622,0.4540757461750689,0.2470027589666416,0.0226235264609982,0.1298219212440431,0.00050163029847,15.078398450113012,0.061719789220724,0.2016374131744285,minute_execution_summary_Exph_v3_exp_looser_20130701_20260625.csv,,,,,,,,,,,,,,,
Exph_v3_exp_looser,2013-07-01,2013-07-01,2026-06-25,1000000.0,tail_vwap_1430_1455,7.0,0.1,0.1448305110480841,0.1375718070715532,0.8114701626422268,-0.3695369242051048,3.9502379426547143,4950237.942654715,16160.0,0.7327970297029703,0.0904702970297029,0.2508044554455445,0.396039603960396,0.0277846534653465,0.0069925742574257,0.0013613861386138,9.60681725404817,0.0341417517641856,0.0813594480929951,minute_execution_summary_Exph_v3_exp_looser_20130701_20260625.csv,,,,,,,,,,,,,,,
Exph_v3_exp_looser,2013-07-01,2013-07-01,2026-06-25,1000000.0,twap_0935_1030,7.0,0.1,0.1629713195226426,0.1592053875022563,0.9342138915760776,-0.3200048464046287,5.25387184509554,6253871.84509554,15261.0,0.6690256208636394,0.0959308040102221,0.160277832383199,0.4139964615687045,0.0294214009566869,0.0123845095341065,0.0001965795164143,7.451112560701602,0.0237988685799335,0.0640734353796057,minute_execution_summary_Exph_v3_exp_looser_20130701_20260625.csv,,,,,,,,,,,,,,,
Exph_v3_exp_looser,2013-07-01,2013-07-01,2026-06-25,1000000.0,vwap_0935_1030,7.0,0.1,0.161230730150847,0.1571640379988887,0.9235553396502582,-0.321263877670584,5.118578817361805,6118578.817361806,15324.0,0.6703863221091099,0.0980814408770556,0.1587052988775776,0.4154267815191856,0.0293004437483685,0.0123988514748107,0.0001957713390759,7.402431083134361,0.0236325020180034,0.0637728872351071,minute_execution_summary_Exph_v3_exp_looser_20130701_20260625.csv,,,,,,,,,,,,,,,
F2_CAP_MA60,2013-07-01,2013-07-01,2026-06-25,1000000.0,open_0935,7.0,0.1,0.0981271090266322,0.0827540998090736,0.4994945596639166,-0.5859016721324976,1.68207814832701,2682078.1483270098,22686.0,0.9000264480296218,0.2464956360751124,0.4352464074759763,0.2552234858503041,0.02173146433924,0.1327691087014017,0.0002204002468482,14.684918684918683,0.0597888156897533,0.2202084369207222,minute_execution_summary_F2_CAP_MA60_20130701_20260625.csv,,,,,,,,,,,,,,,
F2_CAP_MA60,2013-07-01,2013-07-01,2026-06-25,1000000.0,t2_open_0935,7.0,0.1,0.1153174520809864,0.0965824605403005,0.512422853946055,-0.5142306489328776,2.139508241734944,3139508.241734944,22911.0,0.9065077910174152,0.2355200558683601,0.4551088996551874,0.2524987997031993,0.0216053424119418,0.1257038103967526,0.0004364715638776,15.037739080787896,0.06153058108495,0.2195876248501154,minute_execution_summary_F2_CAP_MA60_20130701_20260625.csv,,,,,,,,,,,,,,,
F2_CAP_MA60,2013-07-01,2013-07-01,2026-06-25,1000000.0,tail_vwap_1430_1455,7.0,0.1,0.1554643908771256,0.1462555929227409,0.7987842759469777,-0.3768899971283573,4.440110692002201,5440110.692002201,18488.0,0.7770986585893552,0.1127758546083946,0.2467546516659454,0.4239506707053224,0.0266659454781479,0.0068693206404154,0.0010276936391172,9.52965920868134,0.0336524347713999,0.0787219051408365,minute_execution_summary_F2_CAP_MA60_20130701_20260625.csv,,,,,,,,,,,,,,,
F2_CAP_MA60,2013-07-01,2013-07-01,2026-06-25,1000000.0,twap_0935_1030,7.0,0.1,0.1661429930215927,0.1589625902905056,0.8625251016114533,-0.320819896017225,5.237637274740526,6237637.2747405255,17397.0,0.723630511007645,0.1173190780019543,0.1560613898948094,0.4530666206817267,0.0283382192332011,0.0115537161579582,0.000287405874576,7.3473560823131026,0.0232939080245652,0.0595530081122787,minute_execution_summary_F2_CAP_MA60_20130701_20260625.csv,,,,,,,,,,,,,,,
F2_CAP_MA60,2013-07-01,2013-07-01,2026-06-25,1000000.0,vwap_0935_1030,7.0,0.1,0.1642533210002431,0.1567365373410438,0.8519643395142882,-0.3226420492013624,5.090588699295512,6090588.6992955115,17478.0,0.7242819544570317,0.1184346035015448,0.1543654880421101,0.4542281725597894,0.0282068886600297,0.0115001716443529,0.0002860739215013,7.297507788161994,0.0230674511204639,0.0592738550799897,minute_execution_summary_F2_CAP_MA60_20130701_20260625.csv,,,,,,,,,,,,,,,
