setting,execution_mode,roundtrip_cost_bp,initial_cash,annual_return,cagr,sharpe,max_drawdown,total_return,final_value,orders,partial_or_failed_rate,failed_rate,capacity_limited_rate,lot_residual_rate,no_minute_data_rate,no_turnover_rate,limit_block_rate,avg_slippage_bp,p95_slippage_bp,avg_participation,p95_participation,avg_abs_exposure_gap,p95_abs_exposure_gap
Exph_v3_exp_looser,open_0935,7.0,1000000.0,0.11039509760671753,0.09885038239207566,0.6013810018746603,-0.4985377423891387,2.2210360788742864,3221036.0788742863,19831,0.8767586102566689,0.2301447229085775,0.4382028137764107,0.24925621501689274,0.02264131914679038,0.13650345418788765,0.00030255660329786695,14.802711731184909,20.0,0.06042867463819932,0.09996013341649929,0.207777365266071,0.5550483883845239
Exph_v3_exp_looser,t2_open_0935,7.0,1000000.0,0.11840563526868492,0.102695801655454,0.5536749351278837,-0.47738999553777317,2.3637335463165243,3363733.5463165245,19935,0.8816654125909205,0.22322548281916227,0.45407574617506896,0.2470027589666416,0.022623526460998244,0.12982192124404315,0.0005016302984700275,15.078398450113012,20.0,0.06171978922072397,0.09996402339525166,0.2016374131744285,0.5738696133858417
Exph_v3_exp_looser,tail_vwap_1430_1455,7.0,1000000.0,0.14483051104808417,0.13757180707155325,0.8114701626422273,-0.36953692420510487,3.9502379426547147,4950237.942654715,16160,0.724690594059406,0.09047029702970297,0.2508044554455445,0.39603960396039606,0.027784653465346535,0.006992574257425743,0.0013613861386138613,9.60681725404817,20.0,0.03414175176418565,0.09994809477982798,0.08135944809299513,0.31402343899866075
Exph_v3_exp_looser,twap_0935_1030,7.0,1000000.0,0.1629713195226425,0.15920538750225632,0.9342138915760769,-0.3200048464046287,5.25387184509554,6253871.84509554,15261,0.6617521787563069,0.09593080401022214,0.160277832383199,0.41399646156870457,0.02942140095668698,0.012384509534106546,0.00019657951641438963,7.451112560701602,20.0,0.023798868579933484,0.09993519084578473,0.06407343537960579,0.2537585090810296
Exph_v3_exp_looser,vwap_0935_1030,5.0,1000000.0,0.1655821651923091,0.16221540294776893,0.948680498715683,-0.3179663633352957,5.458388051484579,6458388.051484578,15311,0.6612892691528967,0.09640128012540004,0.16047286264776958,0.41316700411468876,0.02932532166416302,0.012409378877930899,0.0001959375612304879,6.868232743043007,20.0,0.023844238161683278,0.0999332771083996,0.06421750818196023,0.2545495804154573
Exph_v3_exp_looser,vwap_0935_1030,7.0,1000000.0,0.1612307301508468,0.15716403799888878,0.9235553396502574,-0.32126387767058406,5.118578817361805,6118578.817361806,15324,0.6635343252414513,0.0980814408770556,0.15870529887757764,0.4154267815191856,0.02930044374836857,0.012398851474810754,0.00019577133907595928,7.402431083134361,20.0,0.023632502018003418,0.0999313672922252,0.06377288723510718,0.2530803849014227
Exph_v3_exp_looser,vwap_0935_1030,10.0,1000000.0,0.15435600744934966,0.1492303156037187,0.8839351783784796,-0.32600336264833474,4.617913885401717,5617913.885401717,15292,0.667734763274915,0.09625948208213445,0.15544075333507718,0.4243395239340832,0.029361757781846718,0.012424797279623333,0.00019618100967826315,8.212698986975399,20.0,0.023244476065376045,0.09992749425126733,0.06305922638566747,0.25152025743426926
Exph_v3_exp_looser,vwap_0935_1030,15.0,1000000.0,0.14196980465681552,0.1350637720314798,0.8124063144702484,-0.33753459454733137,3.816500283702144,4816500.283702144,15247,0.6686561290745721,0.0970682757263724,0.1505870007214534,0.42854331999737655,0.02944841608185217,0.012330294484160818,0.0001967600183642684,9.701460013074744,20.0,0.022608283854470227,0.09992107117015969,0.06190740547156072,0.24839343253680676
Exph_v3_exp_looser,vwap_0935_1030,20.0,1000000.0,0.12726711340577465,0.118476598838956,0.7277012454623889,-0.36262546719541455,3.0123434994776987,4012343.499477699,15202,0.6731351138008157,0.09761873437705565,0.146691224838837,0.4367188527825286,0.029535587422707538,0.012103670569661886,0.00019734245494013944,11.297091412742382,20.0,0.021991714685174944,0.09991628393528514,0.06079079066740102,0.2504746967347157
Exph_v3_exp_looser,vwap_0935_1030,5.0,3000000.0,0.14107988756417186,0.1345435949308651,0.8188313027193326,-0.3187437196284707,3.789181907085,14367545.721255,16091,0.660617736622957,0.08010689205145734,0.2552979926667081,0.3347834193027158,0.027903797153688396,0.011869989435087937,0.0004350257908147412,9.200445885691122,20.0,0.0350515397700578,0.0999801444043321,0.09117478783791766,0.33234607892807166
