setting,start,trading_start,end,initial_cash,execution_mode,roundtrip_cost_bp,max_participation,slippage_model,sqrt_k,cross_border_penalty_bp,commodity_penalty_bp,open_penalty_bp,spread_penalty_mult,spread_penalty_cap_bp,max_slippage_bp,near_limit_threshold_bp,near_limit_capacity_mult,tag_suffix,annual_return,cagr,sharpe,max_drawdown,total_return,final_value,orders,partial_or_failed_rate,failed_rate,capacity_limited_rate,lot_residual_rate,no_minute_data_rate,no_turnover_rate,limit_block_rate,avg_slippage_bp,avg_impact_component_bp,avg_extra_penalty_bp,avg_spread_proxy_bp,near_limit_rate,avg_participation,avg_abs_exposure_gap
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,vwap_0935_1030,7.0,0.1,sqrt,40.0,2.0,0.0,0.0,0.0,10.0,50.0,0.0,1.0,50k_cross_only,0.7902589635765624,1.0962818507872374,2.5139542213285386,-0.1322851352508051,0.37329597167811035,69507.9183359915,503.0,0.7773359840954275,0.3658051689860835,0.0,0.4115308151093439,0.027833001988071572,0.1749502982107356,0.0019880715705765406,2.5099147270163322,0.19629892034433438,0.275,13.706087822227298,0.0,4.916551166552545e-05,0.09683064057495787
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,twap_1000_1430,7.0,0.1,sqrt,40.0,2.0,0.0,0.0,0.0,10.0,50.0,0.0,1.0,50k_cross_only,1.2089519777478077,2.126545374394197,3.290261807886412,-0.1738684232473996,0.6299361840828002,82032.52036429691,456.0,0.706140350877193,0.1513157894736842,0.0,0.5548245614035088,0.03070175438596491,0.006578947368421052,0.006578947368421052,2.6409432401539354,0.1489861739834019,0.44495412844036697,11.171399423661063,0.0,4.135847665761306e-05,0.03071886254046112
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,tail_vwap_1430_1455,7.0,0.1,sqrt,40.0,2.0,0.0,0.0,0.0,10.0,50.0,0.0,1.0,50k_cross_only,1.3230529543151592,2.4627615657746897,3.327200892283809,-0.15785259499301885,0.7028684900765729,85246.68777018624,467.0,0.7173447537473233,0.16488222698072805,0.0,0.5524625267665952,0.029978586723768737,0.021413276231263382,0.010706638115631691,2.8468522784466446,0.3766029623216815,0.4200913242009132,10.257951445251523,0.0,0.00027560441561202216,0.04558568178868644
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,split_0935_1455,7.0,0.1,sqrt,40.0,2.0,0.0,0.0,0.0,10.0,50.0,0.0,1.0,50k_cross_only,1.2143159971055437,2.144378434751872,3.311325004965708,-0.16311922087735597,0.6339140372336924,82242.98018728443,463.0,0.714902807775378,0.183585313174946,0.0,0.531317494600432,0.03023758099352052,0.02159827213822894,0.0021598272138228943,2.63974502001586,0.1860530535324963,0.4200913242009132,12.192553818998356,0.0,7.309913568997827e-05,0.045278331870321854
