setting,start,trading_start,end,initial_cash,execution_mode,roundtrip_cost_bp,max_participation,slippage_model,sqrt_k,cross_border_penalty_bp,commodity_penalty_bp,open_penalty_bp,spread_penalty_mult,spread_penalty_cap_bp,max_slippage_bp,near_limit_threshold_bp,near_limit_capacity_mult,tag_suffix,annual_return,cagr,sharpe,max_drawdown,total_return,final_value,orders,partial_or_failed_rate,failed_rate,capacity_limited_rate,lot_residual_rate,no_minute_data_rate,no_turnover_rate,limit_block_rate,avg_slippage_bp,avg_impact_component_bp,avg_extra_penalty_bp,avg_spread_proxy_bp,near_limit_rate,avg_participation,avg_abs_exposure_gap
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,vwap_0935_1030,7.0,0.1,sqrt,40.0,0.0,2.0,0.0,0.0,10.0,50.0,0.0,1.0,50k_commodity_only,0.7929276837733277,1.101944073532426,2.5233872836744236,-0.13216001426948254,0.3748844811904828,69588.31905931629,506.0,0.7845849802371542,0.3715415019762846,0.0,0.41304347826086957,0.02766798418972332,0.17391304347826086,0.001976284584980237,2.333465519627535,0.19515096292764245,0.10918114143920596,13.693882851028514,0.0,4.936177885487076e-05,0.09698903545711478
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,twap_1000_1430,7.0,0.1,sqrt,40.0,0.0,2.0,0.0,0.0,10.0,50.0,0.0,1.0,50k_commodity_only,1.2147927846219624,2.144999079800002,3.307878207291897,-0.17330436823085849,0.6340522462621232,82239.67629950675,458.0,0.6986899563318777,0.15502183406113537,0.0,0.5436681222707423,0.03056768558951965,0.006550218340611353,0.006550218340611353,2.315883299282397,0.14875653170102082,0.136986301369863,11.233971150238192,0.0,4.141931907205402e-05,0.030869422465175978
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,tail_vwap_1430_1455,7.0,0.1,sqrt,40.0,0.0,2.0,0.0,0.0,10.0,50.0,0.0,1.0,50k_commodity_only,1.3317237161225954,2.492584369618332,3.3476925744662807,-0.15713352113537526,0.7091384538344572,85560.5661735471,461.0,0.7180043383947939,0.16268980477223427,0.0,0.5553145336225597,0.03036876355748373,0.021691973969631236,0.010845986984815618,2.5562930574213922,0.38261269463577896,0.12962962962962962,10.242520650989684,0.0,0.0002795952056803554,0.04306756424840917
WideA,2025-10-01,2026-01-02,2026-06-25,50000.0,split_0935_1455,7.0,0.1,sqrt,40.0,0.0,2.0,0.0,0.0,10.0,50.0,0.0,1.0,50k_commodity_only,1.2193625560563126,2.1603891847229506,3.32649789031351,-0.16253164097274708,0.6374744363735156,82422.19269739362,462.0,0.7272727272727273,0.16883116883116883,0.0,0.5584415584415584,0.030303030303030304,0.021645021645021644,0.0021645021645021645,2.349202109987412,0.1867047554540983,0.12814645308924486,12.193672568442826,0.0,7.202989152311759e-05,0.045247265529521095
