horizon,variant,tag,rebalance_interval,use_position_risk_throttle,risk_ret_std_threshold,risk_amount_cv_threshold,risk_exposure_multiplier,annual_return,sharpe_ratio,max_drawdown,total_return,final_value,trade_count,buy_count,sell_count,risk_sell_count,risk_buy_count,partial_count,active_total_return,active_annual_return,active_sharpe,active_max_drawdown
LONG_2013_2026,BASE_DAILY,RRO_LONG_2013_2026_BASE_DAILY,1,False,,,,0.37486170287555237,1.4599609747268951,-0.23187469857199816,70.89023923384669,35945119.61692334,5587,3396,2191,0,0,0,,,,
LONG_2013_2026,REB10,RRO_LONG_2013_2026_REB10,10,False,,,,0.2060372077511193,0.7930702425192091,-0.38640579456114876,7.610012266637064,4305006.133318532,1417,768,649,0,0,0,,,,
LONG_2013_2026,RISK_HALF,RRO_LONG_2013_2026_RISK_HALF,1,True,0.035,1.0,0.5,0.3526512589271566,1.43132102196211,-0.22803022813594642,55.25294755033862,28126473.77516931,6182,3748,2434,166,383,0,,,,
LONG_2013_2026,REB10_RISK_HALF,RRO_LONG_2013_2026_REB10_RISK_HALF,10,True,0.035,1.0,0.5,0.2170205917406123,0.9846925549750537,-0.2852213035676775,10.136360022832196,5568180.011416098,1579,806,773,112,58,0,,,,
NOWARMUP_2026,BASE_DAILY,RRO_NOWARMUP_2026_BASE_DAILY,1,False,,,,1.1599044669604024,3.2485477236004967,-0.17423674833326275,1.0746722677209726,1037336.1338604863,281,167,114,0,0,0,1.0746722677209726,1.7877426646729138,4.0731899624135774,-0.17423674833326275
NOWARMUP_2026,REB10,RRO_NOWARMUP_2026_REB10,10,False,,,,0.14572284249902107,0.5142229571541403,-0.1990751515274044,0.07294986821548166,536474.9341077409,69,38,31,0,0,0,0.07294986821548166,0.2246003444021609,0.6375466899678699,-0.1990751515274044
NOWARMUP_2026,RISK_HALF,RRO_NOWARMUP_2026_RISK_HALF,1,True,0.035,1.0,0.5,0.8110815568603349,2.5200428038461142,-0.1820989030589163,0.6580587797637611,829029.3898818806,323,184,139,18,50,0,0.6580587797637611,1.2501073536929934,3.1451747705758217,-0.1820989030589163
NOWARMUP_2026,REB10_RISK_HALF,RRO_NOWARMUP_2026_REB10_RISK_HALF,10,True,0.035,1.0,0.5,0.18216472880366447,0.9016203545363347,-0.14007483842317547,0.11386159791730877,556930.7989586544,79,38,41,10,5,0,0.11386159791730877,0.2807676554038131,1.1185152327781769,-0.14007483842317536
